Datum,Standort,Parameter,Intervall,Einheit,Wert,Status
"2021-01-07T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",22.07,"provisorisch"
"2021-01-07T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",32.23,"provisorisch"
"2021-01-07T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.48,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.32,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",28.62,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",14.89,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",31.91,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",22.17,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",20.77,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",14.53,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",43.2,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",14669.36,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",40.44,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",25.64,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",38.02,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",19.05,"provisorisch"
